date,start_time,end_time,notes
2026/1/17,00:00,23:59,Clear sky for the full day
2026/1/18,00:00,23:59,Clear sky for the full day
2026/1/19,13:33,23:59,Clear sky after 10:16
2026/1/24,10:18,23:59,Clear sky after 10:18
2026/2/2,09:44,23:59,Clear sky after 09:44
2026/2/11,00:00,09:47,Clear sky before 09:47
2026/2/11,10:41,23:59,Clear sky after 10:41
2026/3/8,08:53,23:59,Clear sky after 08:53
2026/3/12,00:00,23:59,Clear sky for the full day
2026/3/14,00:00,12:00,Clear sky before 12:00
2026/3/14,13:00,23:59,Clear sky after 13:00
2026/3/19,00:00,23:59,Clear sky for the full day
2026/3/25,11:09,23:59,Clear sky after 11:09